Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,414525183,5318.147881823034,14510889,186.16734703599204,2070069,5832333,74.825874668359,68691,0.8812706950793537,10575,
United States of America,Americas,77301430,23353.719,1043144,315.147,243618,915622,276.621,15347,4.637,3114
India,South-East Asia,42723558,3095.9,312582,22.651,30615,509872,36.947,4593,0.333,514
Brazil,Americas,27538503,12955.673,938910,441.716,58540,638835,300.544,6214,2.923,473
France,Europe,21245489,32665.588,808182,1242.604,118385,132607,203.887,1911,2.938,350
The United Kingdom,Europe,18393955,27095.357,366604,540.029,45922,159839,235.452,1163,1.713,234
Russian Federation,Europe,14659880,10045.523,1329111,910.759,179284,342383,234.614,4993,3.421,748
Turkey,Europe,13078792,15507.395,633572,751.22,94730,91117,108.037,1906,2.26,309
Germany,Europe,12800315,15391.152,1278637,1537.438,219972,120467,144.85,1252,1.505,247
Italy,Europe,12205474,20464.738,439707,737.25,71023,151684,254.326,2172,3.642,388
Spain,Europe,10707287,22621.373,192967,407.683,17053,96906,204.734,596,1.259,23
Argentina,Americas,8766174,19396.004,118099,261.305,18573,124585,275.656,1358,3.005,236
Iran (Islamic Republic of),Eastern Mediterranean,6860255,8167.656,202413,240.988,25034,134053,159.6,1005,1.197,167
Colombia,Americas,6023257,11837.49,47471,93.295,3162,137301,269.837,1309,2.573,186
Netherlands,Europe,5842989,33565.765,493055,2832.415,53548,21414,123.015,78,0.448,12
Poland,Europe,5466094,14400.322,195775,515.766,28837,108887,286.861,1683,4.434,372
Mexico,Americas,5300537,4111.086,41244,31.989,2,312965,242.735,1135,0.88,0
Indonesia,South-East Asia,4966046,1815.582,339110,123.978,64718,145622,53.239,838,0.306,167
Ukraine,Europe,4603930,10527.176,223883,511.923,31513,103565,236.808,1678,3.837,310
Japan,Western Pacific,4055675,3206.664,587433,464.46,79896,20701,16.367,1114,0.881,207
