Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,452201564,5801.516743419816,11045464,141.70770168950762,1697477,6029852,77.35994327154398,45317,0.5813941286181757,6828,
United States of America,Americas,78739443,23788.161,256755,77.569,42437,958659,289.623,9071,2.74,1665
India,South-East Asia,42984261,3114.792,32705,2.37,4194,515714,37.37,1125,0.082,255
Brazil,Americas,29249903,13760.813,345873,162.718,56635,654086,307.719,3508,1.65,588
France,Europe,22614907,34771.11,386258,593.883,74721,136749,210.256,914,1.405,107
The United Kingdom,Europe,19457980,28662.727,346034,509.728,40137,162624,239.555,463,0.682,15
Russian Federation,Europe,17242043,11814.922,467019,320.02,50743,359585,246.402,4798,3.288,674
Germany,Europe,16757658,20149.478,1275768,1533.989,252836,125272,150.628,1476,1.775,249
Turkey,Europe,14487482,17177.665,232828,276.062,29492,96094,113.938,1069,1.268,140
Italy,Europe,13214498,22156.553,303992,509.699,55156,156493,262.389,1094,1.834,136
Spain,Europe,11204125,23671.046,123004,259.872,17818,101077,213.546,634,1.339,92
Argentina,Americas,8967210,19840.815,37312,82.556,5615,127051,281.113,427,0.945,42
Iran (Islamic Republic of),Eastern Mediterranean,7113591,8469.272,39844,47.437,6424,138572,164.981,1133,1.349,139
Netherlands,Europe,6986628,40135.539,481778,2767.633,74588,21675,124.515,90,0.517,41
Colombia,Americas,6074874,11938.932,6800,13.364,719,139220,273.609,281,0.552,31
Indonesia,South-East Asia,5864010,2143.877,170308,62.264,16110,151703,55.462,2107,0.77,290
Republic of Korea,Western Pacific,5822626,11356.97,1864300,3636.297,282987,9875,19.261,1295,2.526,229
Poland,Europe,5799996,15279.98,78680,207.281,11633,113307,298.505,971,2.558,121
Japan,Western Pacific,5609096,4434.893,398833,315.342,62825,25697,20.318,1348,1.066,211
Mexico,Americas,5591871,4337.045,27339,21.204,8098,320607,248.662,767,0.595,197
Viet Nam,Western Pacific,5260495,5404.327,1374864,1412.455,218459,41157,42.282,610,0.627,71
Ukraine,Europe,4894331,11191.197,31872,72.877,5858,106985,244.628,500,1.143,86
Malaysia,Western Pacific,3741986,11561.472,213429,659.423,30787,33567,103.711,539,1.665,70
Israel,Europe,3705020,42805.181,44904,518.789,5555,10359,119.681,64,0.739,1
South Africa,Africa,3690291,6222.176,10752,18.129,1868,99681,168.071,182,0.307,25
Czechia,Europe,3670380,34322.059,53528,500.545,8238,39100,365.628,203,1.898,9
Philippines,Western Pacific,3668940,3348.151,4046,3.692,592,57258,52.252,720,0.657,76
Belgium,Europe,3629671,31500.889,41103,356.721,15,30380,263.659,114,0.989,3
Peru,Americas,3531075,10709.361,8591,26.056,1071,211364,641.044,457,1.386,63
Portugal,Europe,3380263,32831.127,85572,831.126,12794,21285,206.733,144,1.399,18
Canada,Americas,3349647,8875.082,39412,104.424,7400,37229,98.64,386,1.023,72
Chile,Americas,3269062,17101.002,121628,636.256,19172,43659,228.387,850,4.446,132
Thailand,South-East Asia,3136649,4493.768,154653,221.566,24792,23575,33.775,451,0.646,63
Australia,Western Pacific,3104907,12176.161,187183,734.054,38020,5520,21.647,203,0.796,21
Austria,Europe,3050667,34273.06,252099,2832.234,50282,14520,163.127,183,2.056,29
Switzerland,Europe,3026939,34974.842,138137,1596.107,16,12759,147.424,31,0.358,0
Denmark,Europe,2923030,50200.051,104707,1798.236,14309,5049,86.711,318,5.461,41
Romania,Europe,2784651,14406.717,29921,154.8,3565,64226,332.281,444,2.297,70
Greece,Europe,2583366,24101.79,113154,1055.682,21863,26424,246.526,388,3.62,58
Sweden,Europe,2465099,23869.066,11300,109.416,2090,17749,171.86,77,0.746,0
