Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,402044502,5158.02707385789,17711497,227.22952456778737,2332592,5770023,74.02646896731528,71701,0.9198874686332236,12005,
United States of America,Americas,76448067,23095.908,1639472,495.305,193059,902189,272.562,16407,4.957,3521
India,South-East Asia,42478060,3078.111,674742,48.894,67084,506520,36.704,7537,0.546,1241
Brazil,Americas,26776620,12597.24,1156411,544.041,177027,633810,298.18,5743,2.702,1189
France,Europe,20451810,31445.282,1129653,1736.876,0,130732,201.004,1985,3.052,0
The United Kingdom,Europe,18000123,26515.22,480458,707.742,67316,158953,234.147,1526,2.248,276
Russian Federation,Europe,13527845,9269.809,1243281,851.945,197076,338091,231.673,4734,3.244,701
Turkey,Europe,12553783,14884.897,721509,855.486,108563,89477,106.092,1646,1.952,266
Italy,Europe,11847436,19864.421,611691,1025.613,81669,149896,251.328,2576,4.319,384
Germany,Europe,11769540,14151.744,1346776,1619.369,247862,119453,143.631,1119,1.345,238
Spain,Europe,10502141,22187.959,285277,602.707,26274,95213,201.157,805,1.701,43
Argentina,Americas,8648075,19134.698,220297,487.428,32790,123227,272.652,1714,3.792,284
Iran (Islamic Republic of),Eastern Mediterranean,6696927,7973.201,250523,298.267,39085,133164,158.542,601,0.716,116
Colombia,Americas,5985516,11763.317,83801,164.694,9730,136197,267.668,1646,3.235,205
Netherlands,Europe,5436575,31231.07,844766,4852.862,86604,21343,122.607,51,0.293,7
Poland,Europe,5312414,13995.455,276728,729.035,42095,107466,283.117,1406,3.704,262
Mexico,Americas,5167110,4007.601,48941,37.959,6343,309884,240.345,1061,0.823,132
Indonesia,South-East Asia,4667554,1706.454,253071,92.523,40618,144858,52.96,447,0.163,74
Ukraine,Europe,4421741,10110.59,251844,575.857,41694,102167,233.611,1358,3.105,280
South Africa,Africa,3631642,6123.288,18833,31.754,3628,96502,162.711,1039,1.752,213
Philippines,Western Pacific,3623176,3306.388,46417,42.359,3651,54690,49.908,593,0.541,69
Japan,Western Pacific,3566188,2819.646,661750,523.22,97946,19742,15.609,793,0.627,155
Belgium,Europe,3386223,29388.072,106020,920.118,13,29497,255.996,249,2.161,6
Peru,Americas,3384546,10264.955,122381,371.168,11651,207312,628.754,1327,4.025,198
Czechia,Europe,3340318,31235.619,195759,1830.56,29059,37660,352.162,296,2.768,18
Israel,Europe,3333045,38507.645,289657,3346.492,36835,9370,108.254,293,3.385,14
Canada,Americas,3148878,8343.133,81975,217.197,8853,34969,92.652,936,2.48,122
Portugal,Europe,2997770,29116.128,252387,2451.333,34023,20354,197.69,330,3.205,52
Malaysia,Western Pacific,2956332,9134.067,74272,229.475,17134,32065,99.07,73,0.226,9
Thailand,South-East Asia,2545873,3647.384,80150,114.828,14822,22364,32.04,136,0.195,20
Romania,Europe,2482394,12842.955,190049,983.241,27346,61092,316.067,850,4.398,176
Switzerland,Europe,2478918,28642.72,137440,1588.054,164,12427,143.588,44,0.508,0
Chile,Americas,2466098,12900.565,244822,1280.704,34253,40111,209.827,369,1.93,24
Australia,Western Pacific,2436656,9555.557,182663,716.329,31064,4366,17.122,462,1.812,63
Viet Nam,Western Pacific,2404651,2470.399,109157,112.142,23956,38614,39.67,837,0.86,93
Sweden,Europe,2372637,22973.774,147839,1431.496,18126,16358,158.391,105,1.017,0
